State,BoreholeName,BoreholeURI,x,y,countSum,Length,TsgLink
sa,CD 2,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/141498,140.2454326,-32.5460845,307,118.7,https://nvclstore.z8.web.core.windows.net/SA/141498_CD2.zip
sa,CD 3,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/141499,140.2462076,-32.5551095,80,151.8,https://nvclstore.z8.web.core.windows.net/SA/141499_CD3.zip
sa,CD 4,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/141500,140.2391326,-32.5478515,4277,301.6,https://nvclstore.z8.web.core.windows.net/SA/141500_CD4.zip
sa,CD 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/141501,140.2510947,-32.4154975,146,179.5,https://nvclstore.z8.web.core.windows.net/SA/141501_CD1.zip
sa,DD86EN 24,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/141747,135.3940214,-29.6676592,193,226.1,https://nvclstore.z8.web.core.windows.net/SA/141747_DD86EN24.zip
sa,DD86EN 34,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/141760,135.3920464,-29.6914892,116,203.3,https://nvclstore.z8.web.core.windows.net/SA/141760_DD86EN34.zip
sa,DD92EN 64,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/141786,135.5233813,-29.7038972,86,188.0,https://nvclstore.z8.web.core.windows.net/SA/141786_DD92EN64.zip
sa,CUR D 2,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/143970,137.7026722,-34.6273043,130,103.95,https://nvclstore.z8.web.core.windows.net/SA/143970_CURD2.zip
sa,80KTD 2,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/144189,139.532377,-32.0237395,492,66.6,https://nvclstore.z8.web.core.windows.net/SA/144189_80KTD2.zip
sa,80KTD 4,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/144191,139.528806,-32.0250425,83,45.6,https://nvclstore.z8.web.core.windows.net/SA/144191_80KTD4.zip
sa,DDH AN 7,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/144355,140.2073466,-32.7226525,858,796.0,https://nvclstore.z8.web.core.windows.net/SA/144355_ANDDH7.zip
sa,DR 4,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/144369,140.4608627,-31.9030715,96,272.6,https://nvclstore.z8.web.core.windows.net/SA/144369_DR4.zip
sa,2 5,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/145365,134.5353255,-30.7102301,37,38.6,https://nvclstore.z8.web.core.windows.net/SA/145365_Tarcoola_L2-5.zip
sa,2 9,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/145367,134.5353255,-30.7102301,11,22.0,https://nvclstore.z8.web.core.windows.net/SA/145367_Tarcola_L2-9.zip
sa,2 10,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/145368,134.5353255,-30.7102301,22,25.0,https://nvclstore.z8.web.core.windows.net/SA/145368_Tarcoola_L2-10.zip
sa,2 13,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/145370,134.5353255,-30.7102301,79,55.5,https://nvclstore.z8.web.core.windows.net/SA/145370_Tarcoola L2-13.zip
sa,2 18,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/145372,134.5353255,-30.7102301,44,58.5,https://nvclstore.z8.web.core.windows.net/SA/145372_Tarcoola_L2-18.zip
sa,2 19,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/145373,134.5353255,-30.7102301,147,92.0,https://nvclstore.z8.web.core.windows.net/SA/145373_Tarcoola_L2-19.zip
sa,LNM10 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/145894,140.1695949,-31.1168075,237,380.0,https://nvclstore.z8.web.core.windows.net/SA/145894_LNM10.zip
sa,PBD 1 / SABD 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/147219,137.7024355,-32.1519193,334,803.2,https://nvclstore.z8.web.core.windows.net/SA/147219_SABD1.zip
