BoreholeURI,x,y,BoreholeName,State,Length,TsgLink
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/228567,133.4034851,-26.8945811,GRANITE DOWNS DH 20,sa,10,https://nvclstore.z8.web.core.windows.net/SA/228567_GDDH20.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/229147,139.3047458,-34.1041104,119105-0,sa,262.2,https://nvclstore.z8.web.core.windows.net/SA/229147_119105-0_.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/229148,139.2998518,-34.1374064,119106-0,sa,263.2,https://nvclstore.z8.web.core.windows.net/SA/229148_119106-0.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/229506,139.4110016,-34.7069694,119101-0,sa,188.5,https://nvclstore.z8.web.core.windows.net/SA/229506_119101-0.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/229507,139.3979096,-34.7064374,119102-0,sa,252.1,https://nvclstore.z8.web.core.windows.net/SA/229507_119102-0.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/229508,139.3139867,-34.6399344,119103-0,sa,192.3,https://nvclstore.z8.web.core.windows.net/SA/229508_119103-0.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/229509,139.2921748,-34.6396304,119104-0,sa,201.1,https://nvclstore.z8.web.core.windows.net/SA/229509_119104_0.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/229978,137.2515727,-31.2676333,MGD44,sa,607.32,https://nvclstore.z8.web.core.windows.net/SA/229978_MGD44.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/229979,137.2521467,-31.2511163,MGD45,sa,801.17,https://nvclstore.z8.web.core.windows.net/SA/229979_ MGD 45.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/229981,137.2581857,-31.2455083,MGD 46,sa,795.13,https://nvclstore.z8.web.core.windows.net/SA/229981_MGD46.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/229989,136.9763107,-32.8239203,RDD002,sa,596.1,https://nvclstore.z8.web.core.windows.net/SA/229989_RD002.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23015,137.6361703,-34.2331913,DDH 93,sa,292.76,https://nvclstore.z8.web.core.windows.net/SA/23015_WeetultaDDH93.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23028,137.5344804,-34.2373203,DDH 178,sa,203.06,https://nvclstore.z8.web.core.windows.net/SA/23028_DDH178.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23045,137.7256883,-34.1750693,DDH 203,sa,302.66,https://nvclstore.z8.web.core.windows.net/SA/23045_NBH203.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23053,137.6165244,-34.0398483,DDH 228,sa,103.2,
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/230886,133.5896779,-29.8730591,03CDDH0065,sa,393,https://nvclstore.z8.web.core.windows.net/SA/230886_03CDDH0065.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/230887,133.5901219,-29.8784921,03CDDH0067,sa,58,https://nvclstore.z8.web.core.windows.net/SA/230887_03CDDH0067.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/230888,133.5878039,-29.8784701,04CUD0117,sa,97.8,https://nvclstore.z8.web.core.windows.net/SA/230888_04CUD0117.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/230889,136.2562378,-33.7761733,KAR001,sa,672,https://nvclstore.z8.web.core.windows.net/SA/230889_KAR1.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/231063,137.0770318,-30.2474823,PH-DD05MS003,sa,891.2,https://nvclstore.z8.web.core.windows.net/SA/231063_PHDD05MS003.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/231064,137.0791988,-30.2679533,PH-DD05MS004,sa,759,https://nvclstore.z8.web.core.windows.net/SA/231064_PH_DD05.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/231341,136.5651579,-31.1977933,CHRCD001,sa,1146.4,https://nvclstore.z8.web.core.windows.net/SA/231341_CHRCD01.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/231342,134.5569356,-29.3532831,RR-06-01,sa,92.3,https://nvclstore.z8.web.core.windows.net/SA/231342_RR-06-01.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/231343,134.5505036,-29.3423411,RR-06-02,sa,150.6,https://nvclstore.z8.web.core.windows.net/SA/231343_RR-06-02.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/231344,134.5115727,-29.3494971,RR-06-03,sa,162.4,https://nvclstore.z8.web.core.windows.net/SA/231344_RR_06_03.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/231345,134.6966796,-29.3231861,RR-06-04,sa,135,https://nvclstore.z8.web.core.windows.net/SA/231345_RR_06_04.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/231346,134.1319897,-29.3102401,RR-06-05,sa,225.3,https://nvclstore.z8.web.core.windows.net/SA/231346_RR_06_05.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23196,137.7946643,-33.7078583,TICKERA 1,sa,153.87,
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23197,137.8577153,-33.7092273,TICKERA 2,sa,151.23,https://nvclstore.z8.web.core.windows.net/SA/23197_TickeraDH2.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/232277,136.844047,-30.1542183,PH-DD04TI007,sa,805,https://nvclstore.z8.web.core.windows.net/SA/232277_PH-DD04TI7.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/232321,138.9157049,-34.3472454,KD 5,sa,176.6,https://nvclstore.z8.web.core.windows.net/SA/232321_KD5.zip
